ID,Type,PartNumber,CoordinateNumber,Longitude,Latitude
belvedere_en_vau.5,MultiLineString,1,1,5.499218087,43.237119422
belvedere_en_vau.5,MultiLineString,1,2,5.499274503,43.237057818
belvedere_en_vau.5,MultiLineString,1,3,5.499340914,43.236999583
belvedere_en_vau.5,MultiLineString,1,4,5.499501127,43.236805079
belvedere_en_vau.5,MultiLineString,1,5,5.499680305,43.236309546
belvedere_en_vau.5,MultiLineString,1,6,5.499796993,43.236076451
belvedere_en_vau.5,MultiLineString,1,7,5.499837101,43.235922528
belvedere_en_vau.5,MultiLineString,1,8,5.49984636,43.235852115
belvedere_en_vau.5,MultiLineString,1,9,5.4998467,43.23577471
belvedere_en_vau.5,MultiLineString,1,10,5.499829675,43.235637408
belvedere_en_vau.5,MultiLineString,1,11,5.499824674,43.235493529
belvedere_en_vau.5,MultiLineString,1,12,5.499838774,43.235421204
belvedere_en_vau.5,MultiLineString,1,13,5.499886814,43.235365194
belvedere_en_vau.5,MultiLineString,1,14,5.500089982,43.235167895
belvedere_en_vau.5,MultiLineString,1,15,5.500177298,43.235052477
belvedere_en_vau.5,MultiLineString,1,16,5.500209998,43.234983322
belvedere_en_vau.5,MultiLineString,1,17,5.500276477,43.234784688
belvedere_en_vau.5,MultiLineString,1,18,5.500344687,43.234654413
belvedere_en_vau.5,MultiLineString,1,19,5.500364288,43.234595461
belvedere_en_vau.5,MultiLineString,1,20,5.500368528,43.234551264
belvedere_en_vau.5,MultiLineString,1,21,5.500408856,43.234516131
belvedere_en_vau.5,MultiLineString,1,22,5.500489857,43.234510655
belvedere_en_vau.5,MultiLineString,1,23,5.500616744,43.234513116
belvedere_en_vau.5,MultiLineString,1,24,5.500795059,43.234537785
belvedere_en_vau.5,MultiLineString,1,25,5.500789366,43.234463219
belvedere_en_vau.5,MultiLineString,1,26,5.500738783,43.234375293
belvedere_en_vau.5,MultiLineString,1,27,5.500741481,43.234323933
belvedere_en_vau.5,MultiLineString,1,28,5.500966658,43.234123423
belvedere_en_vau.5,MultiLineString,1,29,5.501036757,43.234008402
belvedere_en_vau.5,MultiLineString,1,30,5.50114484,43.233861003
belvedere_en_vau.5,MultiLineString,1,31,5.501164324,43.233799354
belvedere_en_vau.5,MultiLineString,1,32,5.501224135,43.233702571
belvedere_en_vau.5,MultiLineString,1,33,5.50122769,43.23367099
belvedere_en_vau.5,MultiLineString,1,34,5.501143894,43.233498337
belvedere_en_vau.5,MultiLineString,1,35,5.501141921,43.233282389
belvedere_en_vau.5,MultiLineString,1,36,5.501180706,43.233240092
belvedere_en_vau.5,MultiLineString,1,37,5.501129539,43.233138681
belvedere_en_vau.5,MultiLineString,1,38,5.501131467,43.232955942
belvedere_en_vau.5,MultiLineString,1,39,5.501160671,43.232891368
belvedere_en_vau.5,MultiLineString,1,40,5.501168815,43.232823681
belvedere_en_vau.5,MultiLineString,1,41,5.501145909,43.232493923
belvedere_en_vau.5,MultiLineString,1,42,5.501104229,43.232384192
belvedere_en_vau.5,MultiLineString,1,43,5.501157418,43.232333462
belvedere_en_vau.5,MultiLineString,1,44,5.501187284,43.232284172
belvedere_en_vau.5,MultiLineString,1,45,5.501216643,43.232223193
belvedere_en_vau.5,MultiLineString,1,46,5.501230974,43.232156264
belvedere_en_vau.5,MultiLineString,1,47,5.501227974,43.232087035
belvedere_en_vau.5,MultiLineString,1,48,5.501216834,43.232028795
belvedere_en_vau.5,MultiLineString,1,49,5.501162079,43.231901368
belvedere_en_vau.5,MultiLineString,1,50,5.501154395,43.231837649
belvedere_en_vau.5,MultiLineString,1,51,5.501199903,43.2316665
belvedere_en_vau.5,MultiLineString,1,52,5.501236562,43.231603553
belvedere_en_vau.5,MultiLineString,1,53,5.501282693,43.231446789
belvedere_en_vau.5,MultiLineString,1,54,5.501287694,43.231391775
belvedere_en_vau.5,MultiLineString,1,55,5.501265098,43.231324801
belvedere_en_vau.5,MultiLineString,1,56,5.501136955,43.231264772
belvedere_en_vau.5,MultiLineString,1,57,5.50092204,43.231190554
belvedere_en_vau.5,MultiLineString,1,58,5.500741553,43.231115538
belvedere_en_vau.5,MultiLineString,1,59,5.500454896,43.231033081
belvedere_en_vau.5,MultiLineString,1,60,5.500350878,43.230961693
belvedere_en_vau.5,MultiLineString,1,61,5.500334114,43.230944082
belvedere_en_vau.5,MultiLineString,1,62,5.500187245,43.230792689
belvedere_en_vau.5,MultiLineString,1,63,5.500168357,43.230754427
belvedere_en_vau.5,MultiLineString,1,64,5.500124721,43.230713139
belvedere_en_vau.5,MultiLineString,1,65,5.500213211,43.23071019
belvedere_en_vau.5,MultiLineString,1,66,5.500256657,43.230690285
belvedere_en_vau.5,MultiLineString,1,67,5.500290601,43.2306499
belvedere_en_vau.5,MultiLineString,1,68,5.500295758,43.230598482
belvedere_en_vau.5,MultiLineString,1,69,5.500234503,43.230519804
