ID,Type,PartNumber,CoordinateNumber,Longitude,Latitude
fontaine_voire.3,MultiLineString,1,1,5.400254574,43.231916981
fontaine_voire.3,MultiLineString,1,2,5.400203,43.23189023
fontaine_voire.3,MultiLineString,1,3,5.400170506,43.231878353
fontaine_voire.3,MultiLineString,1,4,5.400114088,43.231853509
fontaine_voire.3,MultiLineString,1,5,5.40009158,43.23184501
fontaine_voire.3,MultiLineString,1,6,5.400050292,43.23182883
fontaine_voire.3,MultiLineString,1,7,5.39995922,43.231799356
fontaine_voire.3,MultiLineString,1,8,5.399611031,43.231683805
fontaine_voire.3,MultiLineString,1,9,5.399260609,43.231573703
fontaine_voire.3,MultiLineString,1,10,5.399233146,43.231564414
fontaine_voire.3,MultiLineString,1,11,5.398699317,43.23139449
fontaine_voire.3,MultiLineString,1,12,5.398537186,43.231343196
fontaine_voire.3,MultiLineString,1,13,5.398075018,43.231209474
fontaine_voire.3,MultiLineString,1,14,5.397914156,43.231159051
fontaine_voire.3,MultiLineString,1,15,5.397590455,43.23104025
fontaine_voire.3,MultiLineString,1,16,5.397537357,43.23103603
fontaine_voire.3,MultiLineString,1,17,5.39745963,43.231031456
fontaine_voire.3,MultiLineString,1,18,5.39736428,43.231047073
fontaine_voire.3,MultiLineString,1,19,5.397119143,43.231101113
fontaine_voire.3,MultiLineString,1,20,5.396697801,43.23120946
fontaine_voire.3,MultiLineString,1,21,5.396523868,43.231259218
fontaine_voire.3,MultiLineString,1,22,5.396382167,43.231314559
fontaine_voire.3,MultiLineString,1,23,5.396331008,43.231327394
fontaine_voire.3,MultiLineString,1,24,5.396220045,43.231352355
fontaine_voire.3,MultiLineString,1,25,5.396163707,43.231359006
fontaine_voire.3,MultiLineString,1,26,5.395997147,43.231349203
fontaine_voire.3,MultiLineString,1,27,5.395687537,43.231273281
fontaine_voire.3,MultiLineString,1,28,5.395443023,43.231194113
fontaine_voire.3,MultiLineString,1,29,5.395401662,43.231176132
fontaine_voire.3,MultiLineString,1,30,5.395391638,43.231171855
fontaine_voire.3,MultiLineString,1,31,5.39537855,43.231166122
fontaine_voire.3,MultiLineString,1,32,5.395196086,43.2310862
fontaine_voire.3,MultiLineString,1,33,5.394944791,43.230991883
fontaine_voire.3,MultiLineString,1,34,5.394778006,43.230917289
fontaine_voire.3,MultiLineString,1,35,5.394684739,43.230864462
fontaine_voire.3,MultiLineString,1,36,5.394463997,43.230705571
fontaine_voire.3,MultiLineString,1,37,5.394403372,43.230668218
fontaine_voire.3,MultiLineString,1,38,5.394230068,43.230584769
fontaine_voire.3,MultiLineString,1,39,5.39401999,43.230511401
fontaine_voire.3,MultiLineString,1,40,5.393946583,43.230485764
fontaine_voire.3,MultiLineString,1,41,5.393909549,43.230476234
fontaine_voire.3,MultiLineString,1,42,5.39383711,43.230457594
fontaine_voire.3,MultiLineString,1,43,5.393762028,43.230427761
fontaine_voire.3,MultiLineString,1,44,5.393627067,43.23034886
fontaine_voire.3,MultiLineString,1,45,5.393468148,43.230285788
fontaine_voire.3,MultiLineString,1,46,5.393271295,43.230186345
fontaine_voire.3,MultiLineString,1,47,5.393254245,43.230177732
fontaine_voire.3,MultiLineString,1,48,5.393224748,43.230162831
fontaine_voire.3,MultiLineString,1,49,5.393186566,43.230143542
fontaine_voire.3,MultiLineString,1,50,5.393164651,43.23012185
fontaine_voire.3,MultiLineString,1,51,5.393140419,43.230097865
fontaine_voire.3,MultiLineString,1,52,5.393114341,43.230072051
fontaine_voire.3,MultiLineString,1,53,5.393088902,43.230046872
fontaine_voire.3,MultiLineString,1,54,5.392910546,43.229870329
fontaine_voire.3,MultiLineString,1,55,5.392852564,43.229812935
fontaine_voire.3,MultiLineString,1,56,5.392842426,43.2298029
fontaine_voire.3,MultiLineString,1,57,5.392836199,43.229796737
fontaine_voire.3,MultiLineString,1,58,5.39281676,43.229778903
fontaine_voire.3,MultiLineString,1,59,5.392814144,43.229776503
fontaine_voire.3,MultiLineString,1,60,5.39280014,43.229763656
fontaine_voire.3,MultiLineString,1,61,5.392657086,43.22963242
fontaine_voire.3,MultiLineString,1,62,5.392453205,43.229516303
fontaine_voire.3,MultiLineString,1,63,5.392417715,43.229496091
fontaine_voire.3,MultiLineString,1,64,5.392244912,43.229397673
fontaine_voire.3,MultiLineString,1,65,5.392241581,43.229395425
fontaine_voire.3,MultiLineString,1,66,5.392239844,43.229394253
fontaine_voire.3,MultiLineString,1,67,5.392228183,43.229386383
fontaine_voire.3,MultiLineString,1,68,5.392199511,43.229367031
fontaine_voire.3,MultiLineString,1,69,5.392156479,43.229337986
