ID,Type,PartNumber,CoordinateNumber,Longitude,Latitude
grand_tour_mugel.14,MultiLineString,1,1,5.605712507,43.167609368
grand_tour_mugel.14,MultiLineString,1,2,5.605712507,43.167609368
grand_tour_mugel.14,MultiLineString,1,3,5.605658689,43.167479274
grand_tour_mugel.14,MultiLineString,1,4,5.605461998,43.167070944
grand_tour_mugel.14,MultiLineString,1,5,5.605491201,43.16703694
grand_tour_mugel.14,MultiLineString,1,6,5.605860477,43.166910122
grand_tour_mugel.14,MultiLineString,1,7,5.606121327,43.166832721
grand_tour_mugel.14,MultiLineString,1,8,5.606171773,43.166806303
grand_tour_mugel.14,MultiLineString,1,9,5.606155924,43.16672749
grand_tour_mugel.14,MultiLineString,1,10,5.606101746,43.166671201
grand_tour_mugel.14,MultiLineString,1,11,5.605948032,43.166561521
grand_tour_mugel.14,MultiLineString,1,12,5.605861946,43.166452006
grand_tour_mugel.14,MultiLineString,1,13,5.605823127,43.166381847
grand_tour_mugel.14,MultiLineString,1,14,5.605808361,43.166354305
grand_tour_mugel.14,MultiLineString,1,15,5.60574553,43.166242429
grand_tour_mugel.14,MultiLineString,1,16,5.605708693,43.166134424
grand_tour_mugel.14,MultiLineString,1,17,5.605659007,43.166014129
grand_tour_mugel.14,MultiLineString,1,18,5.605647531,43.16595051
grand_tour_mugel.14,MultiLineString,1,19,5.605667715,43.165852826
grand_tour_mugel.14,MultiLineString,1,20,5.605667715,43.165852826
grand_tour_mugel.14,MultiLineString,1,21,5.605701061,43.165801623
grand_tour_mugel.14,MultiLineString,1,22,5.605855568,43.165683594
grand_tour_mugel.14,MultiLineString,1,23,5.605965539,43.165559442
grand_tour_mugel.14,MultiLineString,1,24,5.606093918,43.165461843
grand_tour_mugel.14,MultiLineString,1,25,5.60617246,43.165404148
grand_tour_mugel.14,MultiLineString,1,26,5.606189146,43.165387215
grand_tour_mugel.14,MultiLineString,1,27,5.606192446,43.165383866
grand_tour_mugel.14,MultiLineString,1,28,5.606189146,43.165387215
grand_tour_mugel.14,MultiLineString,1,29,5.606069399,43.165310439
grand_tour_mugel.14,MultiLineString,1,30,5.606029842,43.165295099
grand_tour_mugel.14,MultiLineString,1,31,5.605976923,43.16526668
grand_tour_mugel.14,MultiLineString,1,32,5.60589851,43.165218177
grand_tour_mugel.14,MultiLineString,1,33,5.605803,43.165165458
grand_tour_mugel.14,MultiLineString,1,34,5.605850444,43.16502871
grand_tour_mugel.14,MultiLineString,1,35,5.605899217,43.164922761
grand_tour_mugel.14,MultiLineString,1,36,5.605935827,43.164860255
grand_tour_mugel.14,MultiLineString,1,37,5.60597031,43.164748471
grand_tour_mugel.14,MultiLineString,1,38,5.606015778,43.164696036
grand_tour_mugel.14,MultiLineString,1,39,5.606084749,43.164667721
grand_tour_mugel.14,MultiLineString,1,40,5.606140583,43.164660263
grand_tour_mugel.14,MultiLineString,1,41,5.606210264,43.164648375
grand_tour_mugel.14,MultiLineString,1,42,5.6062547,43.16463707
grand_tour_mugel.14,MultiLineString,1,43,5.60634865,43.164602011
grand_tour_mugel.14,MultiLineString,1,44,5.606705548,43.164349171
grand_tour_mugel.14,MultiLineString,1,45,5.606979392,43.164188685
grand_tour_mugel.14,MultiLineString,1,46,5.607074283,43.164110442
grand_tour_mugel.14,MultiLineString,1,47,5.607078031,43.164067194
grand_tour_mugel.14,MultiLineString,1,48,5.607060137,43.164042944
grand_tour_mugel.14,MultiLineString,1,49,5.607048119,43.164024725
grand_tour_mugel.14,MultiLineString,1,50,5.60700681,43.163978409
grand_tour_mugel.14,MultiLineString,1,51,5.607038353,43.163940581
grand_tour_mugel.14,MultiLineString,1,52,5.607076226,43.163901005
grand_tour_mugel.14,MultiLineString,1,53,5.60711366,43.163876735
grand_tour_mugel.14,MultiLineString,1,54,5.607183017,43.163849787
grand_tour_mugel.14,MultiLineString,1,55,5.607224743,43.16382088
grand_tour_mugel.14,MultiLineString,1,56,5.607249732,43.16377185
grand_tour_mugel.14,MultiLineString,1,57,5.607260943,43.16366708
grand_tour_mugel.14,MultiLineString,1,58,5.607325316,43.163577085
grand_tour_mugel.14,MultiLineString,1,59,5.607336044,43.163475351
grand_tour_mugel.14,MultiLineString,1,60,5.607325316,43.163577085
grand_tour_mugel.14,MultiLineString,1,61,5.607260943,43.16366708
grand_tour_mugel.14,MultiLineString,1,62,5.607249732,43.16377185
grand_tour_mugel.14,MultiLineString,1,63,5.607224743,43.16382088
grand_tour_mugel.14,MultiLineString,1,64,5.607183017,43.163849787
grand_tour_mugel.14,MultiLineString,1,65,5.60711366,43.163876735
grand_tour_mugel.14,MultiLineString,1,66,5.607076226,43.163901005
grand_tour_mugel.14,MultiLineString,1,67,5.607038353,43.163940581
grand_tour_mugel.14,MultiLineString,1,68,5.60700681,43.163978409
grand_tour_mugel.14,MultiLineString,1,69,5.606896796,43.163966568
grand_tour_mugel.14,MultiLineString,1,70,5.606826052,43.163953818
grand_tour_mugel.14,MultiLineString,1,71,5.606807449,43.163913143
grand_tour_mugel.14,MultiLineString,1,72,5.606807771,43.163855587
grand_tour_mugel.14,MultiLineString,1,73,5.606807771,43.163855587
grand_tour_mugel.14,MultiLineString,1,74,5.60683133,43.163815991
grand_tour_mugel.14,MultiLineString,1,75,5.606784678,43.163775964
