ID,Type,PartNumber,CoordinateNumber,Longitude,Latitude
monts_luminy.1,MultiLineString,1,1,5.432312559,43.231796124
monts_luminy.1,MultiLineString,1,2,5.432227953,43.231657639
monts_luminy.1,MultiLineString,1,3,5.432202941,43.231589807
monts_luminy.1,MultiLineString,1,4,5.432169566,43.231498764
monts_luminy.1,MultiLineString,1,5,5.43217951,43.231384247
monts_luminy.1,MultiLineString,1,6,5.432208714,43.231317894
monts_luminy.1,MultiLineString,1,7,5.432207953,43.231241415
monts_luminy.1,MultiLineString,1,8,5.432259947,43.231102552
monts_luminy.1,MultiLineString,1,9,5.432256823,43.231057626
monts_luminy.1,MultiLineString,1,10,5.432225512,43.230986335
monts_luminy.1,MultiLineString,1,11,5.432183058,43.230913497
monts_luminy.1,MultiLineString,1,12,5.432107498,43.230814405
monts_luminy.1,MultiLineString,1,13,5.431979007,43.230685908
monts_luminy.1,MultiLineString,1,14,5.431782569,43.23058054
monts_luminy.1,MultiLineString,1,15,5.431552347,43.230491231
monts_luminy.1,MultiLineString,1,16,5.43141028,43.230449434
monts_luminy.1,MultiLineString,1,17,5.430867628,43.230305964
monts_luminy.1,MultiLineString,1,18,5.430355301,43.23015191
monts_luminy.1,MultiLineString,1,19,5.43030171,43.230136018
monts_luminy.1,MultiLineString,1,20,5.430236371,43.230104191
monts_luminy.1,MultiLineString,1,21,5.430157714,43.230048365
monts_luminy.1,MultiLineString,1,22,5.42998835,43.229913586
monts_luminy.1,MultiLineString,1,23,5.429904624,43.229854275
monts_luminy.1,MultiLineString,1,24,5.429768026,43.229737657
monts_luminy.1,MultiLineString,1,25,5.429674786,43.229715457
monts_luminy.1,MultiLineString,1,26,5.429616447,43.229732969
monts_luminy.1,MultiLineString,1,27,5.429513674,43.229776679
monts_luminy.1,MultiLineString,1,28,5.429446634,43.229821385
monts_luminy.1,MultiLineString,1,29,5.429329598,43.229877116
monts_luminy.1,MultiLineString,1,30,5.429256807,43.229902152
monts_luminy.1,MultiLineString,1,31,5.428897505,43.229903937
monts_luminy.1,MultiLineString,1,32,5.428669484,43.229925266
monts_luminy.1,MultiLineString,1,33,5.428556267,43.229954812
monts_luminy.1,MultiLineString,1,34,5.428470934,43.230003528
monts_luminy.1,MultiLineString,1,35,5.428289465,43.230166
monts_luminy.1,MultiLineString,1,36,5.428222178,43.23023411
monts_luminy.1,MultiLineString,1,37,5.428174223,43.230293684
monts_luminy.1,MultiLineString,1,38,5.428135103,43.23035846
monts_luminy.1,MultiLineString,1,39,5.428133267,43.230402599
monts_luminy.1,MultiLineString,1,40,5.428216177,43.230647318
monts_luminy.1,MultiLineString,1,41,5.428230988,43.230736079
monts_luminy.1,MultiLineString,1,42,5.428225822,43.230876587
monts_luminy.1,MultiLineString,1,43,5.428210971,43.230962415
monts_luminy.1,MultiLineString,1,44,5.42819578,43.231040152
monts_luminy.1,MultiLineString,1,45,5.428127506,43.231260374
monts_luminy.1,MultiLineString,1,46,5.428075653,43.231344335
monts_luminy.1,MultiLineString,1,47,5.427982994,43.231540807
monts_luminy.1,MultiLineString,1,48,5.427892606,43.231674231
monts_luminy.1,MultiLineString,1,49,5.427806398,43.231760765
monts_luminy.1,MultiLineString,1,50,5.427712114,43.231801582
monts_luminy.1,MultiLineString,1,51,5.427631942,43.231826784
monts_luminy.1,MultiLineString,1,52,5.427255354,43.231915346
monts_luminy.1,MultiLineString,1,53,5.427046298,43.231948845
monts_luminy.1,MultiLineString,1,54,5.426955362,43.231981487
monts_luminy.1,MultiLineString,1,55,5.426860737,43.232014212
monts_luminy.1,MultiLineString,1,56,5.426676517,43.232082249
monts_luminy.1,MultiLineString,1,57,5.426608754,43.232109871
monts_luminy.1,MultiLineString,1,58,5.426546572,43.232123868
monts_luminy.1,MultiLineString,1,59,5.426500774,43.232117698
monts_luminy.1,MultiLineString,1,60,5.426469277,43.232100407
monts_luminy.1,MultiLineString,1,61,5.426470262,43.232065287
monts_luminy.1,MultiLineString,1,62,5.42651595,43.232010263
monts_luminy.1,MultiLineString,1,63,5.426656318,43.231953112
monts_luminy.1,MultiLineString,1,64,5.426841051,43.231809468
monts_luminy.1,MultiLineString,1,65,5.426970997,43.231709353
monts_luminy.1,MultiLineString,1,66,5.427100828,43.23160654
monts_luminy.1,MultiLineString,1,67,5.427202228,43.231500767
monts_luminy.1,MultiLineString,1,68,5.427243147,43.23144945
monts_luminy.1,MultiLineString,1,69,5.427247329,43.231402559
monts_luminy.1,MultiLineString,1,70,5.427203766,43.231273947
monts_luminy.1,MultiLineString,1,71,5.42706127,43.231075563
monts_luminy.1,MultiLineString,1,72,5.427041712,43.231020207
monts_luminy.1,MultiLineString,1,73,5.427059439,43.230329552
