ID,Type,PartNumber,CoordinateNumber,Longitude,Latitude
semaphore_bec_aigle.7,MultiLineString,1,1,5.605461998,43.167070944
semaphore_bec_aigle.7,MultiLineString,1,2,5.603965763,43.167481468
semaphore_bec_aigle.7,MultiLineString,1,3,5.603394439,43.167626657
semaphore_bec_aigle.7,MultiLineString,1,4,5.603269234,43.167658478
semaphore_bec_aigle.7,MultiLineString,1,5,5.60200797,43.167963406
semaphore_bec_aigle.7,MultiLineString,1,6,5.601953269,43.167977325
semaphore_bec_aigle.7,MultiLineString,1,7,5.601789084,43.168017285
semaphore_bec_aigle.7,MultiLineString,1,8,5.601630838,43.168052602
semaphore_bec_aigle.7,MultiLineString,1,9,5.601358708,43.168070866
semaphore_bec_aigle.7,MultiLineString,1,10,5.601173644,43.168111329
semaphore_bec_aigle.7,MultiLineString,1,11,5.600990819,43.168174236
semaphore_bec_aigle.7,MultiLineString,1,12,5.600711304,43.168301572
semaphore_bec_aigle.7,MultiLineString,1,13,5.600667696,43.168316123
semaphore_bec_aigle.7,MultiLineString,1,14,5.60038791,43.168410166
semaphore_bec_aigle.7,MultiLineString,1,15,5.600035175,43.168495168
semaphore_bec_aigle.7,MultiLineString,1,16,5.599356518,43.168660022
semaphore_bec_aigle.7,MultiLineString,1,17,5.599749387,43.169084332
semaphore_bec_aigle.7,MultiLineString,1,18,5.600173885,43.16947368
semaphore_bec_aigle.7,MultiLineString,1,19,5.600094441,43.169511594
semaphore_bec_aigle.7,MultiLineString,1,20,5.600051939,43.169523418
semaphore_bec_aigle.7,MultiLineString,1,21,5.599871054,43.169547579
semaphore_bec_aigle.7,MultiLineString,1,22,5.599282362,43.169580669
semaphore_bec_aigle.7,MultiLineString,1,23,5.599063078,43.169598553
semaphore_bec_aigle.7,MultiLineString,1,24,5.599020131,43.169600488
semaphore_bec_aigle.7,MultiLineString,1,25,5.598647078,43.169616678
semaphore_bec_aigle.7,MultiLineString,1,26,5.598459363,43.169625701
semaphore_bec_aigle.7,MultiLineString,1,27,5.597879404,43.169634274
semaphore_bec_aigle.7,MultiLineString,1,28,5.597157213,43.169651669
semaphore_bec_aigle.7,MultiLineString,1,29,5.596872348,43.169660329
semaphore_bec_aigle.7,MultiLineString,1,30,5.596737285,43.169664481
semaphore_bec_aigle.7,MultiLineString,1,31,5.596512562,43.169670792
semaphore_bec_aigle.7,MultiLineString,1,32,5.596089231,43.169689983
semaphore_bec_aigle.7,MultiLineString,1,33,5.59596317,43.169702918
semaphore_bec_aigle.7,MultiLineString,1,34,5.595795937,43.169757341
semaphore_bec_aigle.7,MultiLineString,1,35,5.595434095,43.169913643
semaphore_bec_aigle.7,MultiLineString,1,36,5.595384061,43.169922047
semaphore_bec_aigle.7,MultiLineString,1,37,5.595244246,43.169929912
semaphore_bec_aigle.7,MultiLineString,1,38,5.59502399,43.169926212
semaphore_bec_aigle.7,MultiLineString,1,39,5.594706867,43.169928443
semaphore_bec_aigle.7,MultiLineString,1,40,5.594624818,43.169935817
semaphore_bec_aigle.7,MultiLineString,1,41,5.594547844,43.169946668
semaphore_bec_aigle.7,MultiLineString,1,42,5.594478562,43.169964535
semaphore_bec_aigle.7,MultiLineString,1,43,5.594157079,43.170061364
semaphore_bec_aigle.7,MultiLineString,1,44,5.594079845,43.170093821
semaphore_bec_aigle.7,MultiLineString,1,45,5.593886033,43.17015878
semaphore_bec_aigle.7,MultiLineString,1,46,5.593576369,43.170272423
semaphore_bec_aigle.7,MultiLineString,1,47,5.593168709,43.17042172
semaphore_bec_aigle.7,MultiLineString,1,48,5.592944391,43.17049191
semaphore_bec_aigle.7,MultiLineString,1,49,5.5928439,43.170526725
semaphore_bec_aigle.7,MultiLineString,1,50,5.592759174,43.170556661
semaphore_bec_aigle.7,MultiLineString,1,51,5.592532883,43.170637698
semaphore_bec_aigle.7,MultiLineString,1,52,5.592296442,43.170711778
semaphore_bec_aigle.7,MultiLineString,1,53,5.592139975,43.170759637
semaphore_bec_aigle.7,MultiLineString,1,54,5.592001206,43.170790871
semaphore_bec_aigle.7,MultiLineString,1,55,5.591748089,43.170822153
semaphore_bec_aigle.7,MultiLineString,1,56,5.591540718,43.170831637
semaphore_bec_aigle.7,MultiLineString,1,57,5.591398704,43.17081795
semaphore_bec_aigle.7,MultiLineString,1,58,5.591299839,43.170806826
semaphore_bec_aigle.7,MultiLineString,1,59,5.591040798,43.170760853
semaphore_bec_aigle.7,MultiLineString,1,60,5.590794806,43.170731664
semaphore_bec_aigle.7,MultiLineString,1,61,5.590683942,43.170727128
semaphore_bec_aigle.7,MultiLineString,1,62,5.590488692,43.170732718
semaphore_bec_aigle.7,MultiLineString,1,63,5.590310919,43.170744188
semaphore_bec_aigle.7,MultiLineString,1,64,5.590246185,43.170753842
semaphore_bec_aigle.7,MultiLineString,1,65,5.590181693,43.170768891
semaphore_bec_aigle.7,MultiLineString,1,66,5.590052085,43.170812502
semaphore_bec_aigle.7,MultiLineString,1,67,5.590029111,43.170821153
semaphore_bec_aigle.7,MultiLineString,1,68,5.589938927,43.170866517
semaphore_bec_aigle.7,MultiLineString,1,69,5.58974523,43.170989063
semaphore_bec_aigle.7,MultiLineString,1,70,5.589584776,43.17111261
semaphore_bec_aigle.7,MultiLineString,1,71,5.589547587,43.171133302
semaphore_bec_aigle.7,MultiLineString,1,72,5.589516136,43.171144857
semaphore_bec_aigle.7,MultiLineString,1,73,5.589466462,43.171161349
semaphore_bec_aigle.7,MultiLineString,1,74,5.589351369,43.171172212
semaphore_bec_aigle.7,MultiLineString,1,75,5.589043501,43.171161605
semaphore_bec_aigle.7,MultiLineString,1,76,5.588881412,43.171166396
semaphore_bec_aigle.7,MultiLineString,1,77,5.588681771,43.171183788
semaphore_bec_aigle.7,MultiLineString,1,78,5.588503373,43.171208769
semaphore_bec_aigle.7,MultiLineString,1,79,5.588326363,43.171237316
semaphore_bec_aigle.7,MultiLineString,1,80,5.588186564,43.17127307
semaphore_bec_aigle.7,MultiLineString,1,81,5.587965317,43.171384574
semaphore_bec_aigle.7,MultiLineString,1,82,5.587728484,43.171532451
semaphore_bec_aigle.7,MultiLineString,1,83,5.587547064,43.171654698
semaphore_bec_aigle.7,MultiLineString,1,84,5.587331733,43.171788558
semaphore_bec_aigle.7,MultiLineString,1,85,5.587272534,43.171839476
semaphore_bec_aigle.7,MultiLineString,1,86,5.587235122,43.171882672
semaphore_bec_aigle.7,MultiLineString,1,87,5.587178036,43.172008235
semaphore_bec_aigle.7,MultiLineString,1,88,5.58707794,43.172161829
semaphore_bec_aigle.7,MultiLineString,1,89,5.587039299,43.172205054
semaphore_bec_aigle.7,MultiLineString,1,90,5.586933283,43.172281394
semaphore_bec_aigle.7,MultiLineString,1,91,5.586805965,43.172321346
semaphore_bec_aigle.7,MultiLineString,1,92,5.586742295,43.172327373
semaphore_bec_aigle.7,MultiLineString,1,93,5.586639946,43.172320828
semaphore_bec_aigle.7,MultiLineString,1,94,5.586588902,43.172306753
semaphore_bec_aigle.7,MultiLineString,1,95,5.58641308,43.172224574
semaphore_bec_aigle.7,MultiLineString,1,96,5.586335599,43.172196734
semaphore_bec_aigle.7,MultiLineString,1,97,5.586300845,43.172189468
semaphore_bec_aigle.7,MultiLineString,1,98,5.586271085,43.172183882
semaphore_bec_aigle.7,MultiLineString,1,99,5.586209389,43.172179061
semaphore_bec_aigle.7,MultiLineString,1,100,5.586044296,43.17219922
semaphore_bec_aigle.7,MultiLineString,1,101,5.585959162,43.17222016
semaphore_bec_aigle.7,MultiLineString,1,102,5.585759716,43.172296939
semaphore_bec_aigle.7,MultiLineString,1,103,5.585522533,43.17240972
semaphore_bec_aigle.7,MultiLineString,1,104,5.585417099,43.172471645
semaphore_bec_aigle.7,MultiLineString,1,105,5.585400507,43.172485542
semaphore_bec_aigle.7,MultiLineString,1,106,5.585233193,43.172620947
semaphore_bec_aigle.7,MultiLineString,1,107,5.584992741,43.172825601
semaphore_bec_aigle.7,MultiLineString,1,108,5.584866663,43.172948318
semaphore_bec_aigle.7,MultiLineString,1,109,5.584717749,43.173110279
semaphore_bec_aigle.7,MultiLineString,1,110,5.584505256,43.173417757
semaphore_bec_aigle.7,MultiLineString,1,111,5.58434697,43.173672639
semaphore_bec_aigle.7,MultiLineString,1,112,5.584328765,43.173705473
semaphore_bec_aigle.7,MultiLineString,1,113,5.584319458,43.173772293
semaphore_bec_aigle.7,MultiLineString,1,114,5.584287961,43.173837845
semaphore_bec_aigle.7,MultiLineString,1,115,5.584254734,43.17386474
semaphore_bec_aigle.7,MultiLineString,1,116,5.584174671,43.173889157
semaphore_bec_aigle.7,MultiLineString,1,117,5.584101879,43.173883702
semaphore_bec_aigle.7,MultiLineString,1,118,5.584035009,43.173845706
semaphore_bec_aigle.7,MultiLineString,1,119,5.583887847,43.173662041
semaphore_bec_aigle.7,MultiLineString,1,120,5.583838053,43.173620936
semaphore_bec_aigle.7,MultiLineString,1,121,5.583747122,43.173567317
semaphore_bec_aigle.7,MultiLineString,1,122,5.583713654,43.173588817
semaphore_bec_aigle.7,MultiLineString,1,123,5.583686592,43.173588566
semaphore_bec_aigle.7,MultiLineString,1,124,5.583569121,43.173546382
semaphore_bec_aigle.7,MultiLineString,1,125,5.583501988,43.173529991
semaphore_bec_aigle.7,MultiLineString,1,126,5.583454125,43.173532038
semaphore_bec_aigle.7,MultiLineString,1,127,5.583398065,43.17354328
semaphore_bec_aigle.7,MultiLineString,1,128,5.583298751,43.173577157
semaphore_bec_aigle.7,MultiLineString,1,129,5.583203483,43.173619038
semaphore_bec_aigle.7,MultiLineString,1,130,5.583083145,43.173677717
semaphore_bec_aigle.7,MultiLineString,1,131,5.582929597,43.17379119
semaphore_bec_aigle.7,MultiLineString,1,132,5.582730176,43.173923759
semaphore_bec_aigle.7,MultiLineString,1,133,5.582665432,43.173988307
semaphore_bec_aigle.7,MultiLineString,1,134,5.582576322,43.174057937
semaphore_bec_aigle.7,MultiLineString,1,135,5.582467439,43.174125342
semaphore_bec_aigle.7,MultiLineString,1,136,5.582348407,43.174185789
semaphore_bec_aigle.7,MultiLineString,1,137,5.582244156,43.174246783
semaphore_bec_aigle.7,MultiLineString,1,138,5.582231505,43.174293883
semaphore_bec_aigle.7,MultiLineString,1,139,5.581989268,43.174458975
semaphore_bec_aigle.7,MultiLineString,1,140,5.581904123,43.17453481
semaphore_bec_aigle.7,MultiLineString,1,141,5.581666745,43.17480868
semaphore_bec_aigle.7,MultiLineString,1,142,5.581558553,43.174974162
semaphore_bec_aigle.7,MultiLineString,1,143,5.581503449,43.175061877
semaphore_bec_aigle.7,MultiLineString,1,144,5.581443294,43.175119114
semaphore_bec_aigle.7,MultiLineString,1,145,5.581386928,43.175151062
semaphore_bec_aigle.7,MultiLineString,1,146,5.581125905,43.175253605
semaphore_bec_aigle.7,MultiLineString,1,147,5.580955898,43.175356669
semaphore_bec_aigle.7,MultiLineString,1,148,5.580890662,43.175465325
semaphore_bec_aigle.7,MultiLineString,1,149,5.580825361,43.175600081
semaphore_bec_aigle.7,MultiLineString,1,150,5.580798595,43.17563402
semaphore_bec_aigle.7,MultiLineString,1,151,5.580767702,43.175658158
semaphore_bec_aigle.7,MultiLineString,1,152,5.58073367,43.175667072
semaphore_bec_aigle.7,MultiLineString,1,153,5.580691986,43.17566987
semaphore_bec_aigle.7,MultiLineString,1,154,5.580654935,43.175666256
semaphore_bec_aigle.7,MultiLineString,1,155,5.580618831,43.175656321
