ID,Type,PartNumber,CoordinateNumber,Longitude,Latitude
tour_massif_marseilleveyre.4,MultiLineString,1,1,5.354843255,43.23068346
tour_massif_marseilleveyre.4,MultiLineString,1,2,5.354904831,43.230593925
tour_massif_marseilleveyre.4,MultiLineString,1,3,5.355023353,43.230542744
tour_massif_marseilleveyre.4,MultiLineString,1,4,5.355176141,43.230456619
tour_massif_marseilleveyre.4,MultiLineString,1,5,5.355394043,43.23039787
tour_massif_marseilleveyre.4,MultiLineString,1,6,5.355582542,43.230402756
tour_massif_marseilleveyre.4,MultiLineString,1,7,5.355741733,43.230383084
tour_massif_marseilleveyre.4,MultiLineString,1,8,5.355881892,43.230349428
tour_massif_marseilleveyre.4,MultiLineString,1,9,5.355965562,43.230318805
tour_massif_marseilleveyre.4,MultiLineString,1,10,5.356081551,43.230205584
tour_massif_marseilleveyre.4,MultiLineString,1,11,5.356096875,43.230189051
tour_massif_marseilleveyre.4,MultiLineString,1,12,5.356153456,43.230158118
tour_massif_marseilleveyre.4,MultiLineString,1,13,5.356170561,43.230155045
tour_massif_marseilleveyre.4,MultiLineString,1,14,5.356214754,43.230031692
tour_massif_marseilleveyre.4,MultiLineString,1,15,5.356240925,43.230009523
tour_massif_marseilleveyre.4,MultiLineString,1,16,5.356289376,43.229990467
tour_massif_marseilleveyre.4,MultiLineString,1,17,5.356342781,43.229972203
tour_massif_marseilleveyre.4,MultiLineString,1,18,5.356390645,43.229938761
tour_massif_marseilleveyre.4,MultiLineString,1,19,5.356428744,43.229907332
tour_massif_marseilleveyre.4,MultiLineString,1,20,5.356529499,43.229843039
tour_massif_marseilleveyre.4,MultiLineString,1,21,5.356591035,43.229812898
tour_massif_marseilleveyre.4,MultiLineString,1,22,5.356651524,43.22978728
tour_massif_marseilleveyre.4,MultiLineString,1,23,5.356720015,43.229776786
tour_massif_marseilleveyre.4,MultiLineString,1,24,5.35679003,43.229773457
tour_massif_marseilleveyre.4,MultiLineString,1,25,5.356843766,43.229763285
tour_massif_marseilleveyre.4,MultiLineString,1,26,5.356872432,43.229741961
tour_massif_marseilleveyre.4,MultiLineString,1,27,5.356896638,43.229701836
tour_massif_marseilleveyre.4,MultiLineString,1,28,5.356922001,43.229659886
tour_massif_marseilleveyre.4,MultiLineString,1,29,5.356939912,43.229616299
tour_massif_marseilleveyre.4,MultiLineString,1,30,5.356968468,43.229592278
tour_massif_marseilleveyre.4,MultiLineString,1,31,5.357028095,43.229575677
tour_massif_marseilleveyre.4,MultiLineString,1,32,5.357077022,43.22956831
tour_massif_marseilleveyre.4,MultiLineString,1,33,5.35711648,43.229570148
tour_massif_marseilleveyre.4,MultiLineString,1,34,5.357213692,43.229569825
tour_massif_marseilleveyre.4,MultiLineString,1,35,5.357242138,43.229543106
tour_massif_marseilleveyre.4,MultiLineString,1,36,5.357277172,43.229527043
tour_massif_marseilleveyre.4,MultiLineString,1,37,5.357310279,43.229493923
tour_massif_marseilleveyre.4,MultiLineString,1,38,5.357330907,43.229456576
tour_massif_marseilleveyre.4,MultiLineString,1,39,5.357342817,43.229416719
tour_massif_marseilleveyre.4,MultiLineString,1,40,5.35738042,43.229403299
tour_massif_marseilleveyre.4,MultiLineString,1,41,5.357418612,43.229404265
tour_massif_marseilleveyre.4,MultiLineString,1,42,5.357471778,43.229410304
tour_massif_marseilleveyre.4,MultiLineString,1,43,5.35750595,43.229403258
tour_massif_marseilleveyre.4,MultiLineString,1,44,5.357528358,43.229379371
tour_massif_marseilleveyre.4,MultiLineString,1,45,5.357572183,43.229367615
tour_massif_marseilleveyre.4,MultiLineString,1,46,5.3576112,43.229358663
tour_massif_marseilleveyre.4,MultiLineString,1,47,5.357633534,43.229332978
tour_massif_marseilleveyre.4,MultiLineString,1,48,5.357667228,43.229314244
tour_massif_marseilleveyre.4,MultiLineString,1,49,5.35771131,43.229308781
tour_massif_marseilleveyre.4,MultiLineString,1,50,5.357782426,43.229332426
tour_massif_marseilleveyre.4,MultiLineString,1,51,5.357830564,43.229335874
tour_massif_marseilleveyre.4,MultiLineString,1,52,5.357858551,43.229328064
tour_massif_marseilleveyre.4,MultiLineString,1,53,5.357872608,43.229310658
tour_massif_marseilleveyre.4,MultiLineString,1,54,5.357906486,43.229296419
tour_massif_marseilleveyre.4,MultiLineString,1,55,5.357957321,43.229275511
tour_massif_marseilleveyre.4,MultiLineString,1,56,5.358008083,43.229252804
