ID,Type,PartNumber,CoordinateNumber,Longitude,Latitude
tour_ratonneau.11,MultiLineString,1,1,5.30645668,43.279426127
tour_ratonneau.11,MultiLineString,1,2,5.306503951,43.279460383
tour_ratonneau.11,MultiLineString,1,3,5.306517044,43.279476455
tour_ratonneau.11,MultiLineString,1,4,5.30653731,43.279490421
tour_ratonneau.11,MultiLineString,1,5,5.306749511,43.279657704
tour_ratonneau.11,MultiLineString,1,6,5.306807616,43.279762625
tour_ratonneau.11,MultiLineString,1,7,5.306805454,43.279958709
tour_ratonneau.11,MultiLineString,1,8,5.306811589,43.280002613
tour_ratonneau.11,MultiLineString,1,9,5.30682558,43.28010275
tour_ratonneau.11,MultiLineString,1,10,5.306851934,43.280181155
tour_ratonneau.11,MultiLineString,1,11,5.306875626,43.280249944
tour_ratonneau.11,MultiLineString,1,12,5.30691025,43.2803149
tour_ratonneau.11,MultiLineString,1,13,5.306934273,43.280361184
tour_ratonneau.11,MultiLineString,1,14,5.306990487,43.280503973
tour_ratonneau.11,MultiLineString,1,15,5.307025507,43.28057882
tour_ratonneau.11,MultiLineString,1,16,5.307075871,43.280667739
tour_ratonneau.11,MultiLineString,1,17,5.307141623,43.280741029
tour_ratonneau.11,MultiLineString,1,18,5.3072373,43.280854178
tour_ratonneau.11,MultiLineString,1,19,5.307557349,43.28118752
tour_ratonneau.11,MultiLineString,1,20,5.307723058,43.281357669
tour_ratonneau.11,MultiLineString,1,21,5.307748716,43.281383219
tour_ratonneau.11,MultiLineString,1,22,5.307838465,43.281471296
tour_ratonneau.11,MultiLineString,1,23,5.307979423,43.281607775
tour_ratonneau.11,MultiLineString,1,24,5.308004974,43.281630628
tour_ratonneau.11,MultiLineString,1,25,5.30804833,43.281667499
tour_ratonneau.11,MultiLineString,1,26,5.308113545,43.281727302
tour_ratonneau.11,MultiLineString,1,27,5.308371332,43.281951279
tour_ratonneau.11,MultiLineString,1,28,5.308793431,43.282310335
tour_ratonneau.11,MultiLineString,1,29,5.308852026,43.28235858
tour_ratonneau.11,MultiLineString,1,30,5.308900198,43.282392648
tour_ratonneau.11,MultiLineString,1,31,5.308947651,43.282408733
tour_ratonneau.11,MultiLineString,1,32,5.308996262,43.282422993
tour_ratonneau.11,MultiLineString,1,33,5.30904437,43.282424665
tour_ratonneau.11,MultiLineString,1,34,5.309091067,43.282421867
